otu,otu_occ,otu_rel,fill,Group,Group2
chick_phage_329,0.142387733,2.34E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_271,0.047097481,1.49E-05,no,Chicken,Chicken-no
chick_phage_4784,0.329682366,8.19E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_111,0.320920044,4.27E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1903,0.353778751,0.000152899,Compartments,Chicken,Chicken-Compartments
chick_phage_384,0.316538883,0.000167367,Compartments,Chicken,Chicken-Compartments
chick_phage_433,0.084337349,1.23E-05,no,Chicken,Chicken-no
chick_phage_3223,0.575027382,1.92E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_673,0.12924425,2.97E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_5766,0.445783133,4.04E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_199,0.387732749,0.00117644,Compartments,Chicken,Chicken-Compartments
chick_phage_235,0.08543264,3.54E-05,no,Chicken,Chicken-no
chick_phage_3451,0.295728368,1.27E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_4254,0.233296824,1.80E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1002,0.296823658,0.000699089,Compartments,Chicken,Chicken-Compartments
chick_phage_115,0.097480832,3.54E-05,no,Chicken,Chicken-no
chick_phage_1986,0.878422782,0.00052111,Compartments,Chicken,Chicken-Compartments
chick_phage_1857,0.162102957,1.18E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3476,0.188389923,5.35E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_3909,0.120481928,1.75E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2766,0.26067908,0.000184871,Compartments,Chicken,Chicken-Compartments
chick_phage_619,0.141292442,4.10E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_721,0.26286966,1.23E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2620,0.152245345,3.29E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2636,0.332968237,1.83E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_759,0.113910186,1.74E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2079,0.721796276,0.003112652,Compartments,Chicken,Chicken-Compartments
chick_phage_146,0.097480832,2.07E-05,no,Chicken,Chicken-no
chick_phage_2530,0.762322015,0.00051503,Compartments,Chicken,Chicken-Compartments
chick_phage_6220,0.777656079,0.000288717,Compartments,Chicken,Chicken-Compartments
chick_phage_4102,0.65388828,5.66E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2894,0.623220153,8.83E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1681,0.124863089,4.95E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2331,0.101861993,6.61E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_2519,0.481927711,8.45E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_760,0.182913472,6.69E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_117,0.077765608,1.70E-05,no,Chicken,Chicken-no
chick_phage_3074,0.108433735,1.54E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3701,0.240963855,6.18E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_119,0.134720701,1.32E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2004,0.276013143,0.000104261,Compartments,Chicken,Chicken-Compartments
chick_phage_2777,0.055859803,1.33E-06,no,Chicken,Chicken-no
chick_phage_1439,0.604600219,0.000335572,Compartments,Chicken,Chicken-Compartments
chick_phage_906,0.096385542,0.000101236,no,Chicken,Chicken-no
chick_phage_76,0.186199343,0.000174407,Compartments,Chicken,Chicken-Compartments
chick_phage_1425,0.457831325,0.000120104,Compartments,Chicken,Chicken-Compartments
chick_phage_852,0.150054765,4.04E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_134,0.144578313,6.57E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_806,0.170865279,9.16E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_865,0.133625411,0.000113641,Compartments,Chicken,Chicken-Compartments
chick_phage_161,0.230010953,1.74E-05,Compartments,Chicken,Chicken-Compartments
