Phage,Host,Source
366196.9495,496487.5771,Chicken
111479.9402,183326.421,Chicken
179689.8665,47898.79509,Chicken
450520.0554,93968.55767,Chicken
19256.14805,6849.472385,Chicken
4764.921822,2127.214487,Chicken
317947.8334,209517.538,Chicken
365.673014,175.481711,Chicken
1531.544516,675.439362,Chicken
547.198535,185.283308,Chicken
1463.208866,350.794919,Chicken
585.881388,253.673791,Chicken
13672.71012,8940.387479,Chicken
14103.86295,7428.903616,Chicken
1069.710394,370.41064,Chicken
195453.4611,311311.6741,Chicken
1758.550793,492.826444,Chicken
10822.08488,3805.686674,Chicken
9953.245719,2374.718215,Chicken
7255.953601,3175.624983,Chicken
229857.7474,157858.5215,Chicken
11013.60322,10100.32941,Chicken
22049.83579,15429.13539,Chicken
2104.990739,20924.43618,Chicken
446612.9721,853270.9655,Chicken
21480.63635,10876.05184,Chicken
334069.1522,596461.9237,Chicken
6559.435156,5324.062823,Chicken
18162.85053,7187.635039,Chicken
1098.68198,399.46322,Chicken
4863.960975,3126.476829,Chicken
5323.500996,3748.257065,Chicken
16376.2184,4875.024973,Chicken
5345.438497,2404.275972,Chicken
197502.6968,164943.4183,Chicken
7730.045503,2406.751253,Chicken
6782.682946,1823.879829,Chicken
5938.278834,3518.486044,Chicken
3376.667499,2291.769134,Chicken
18963.23637,18216.33748,Chicken
39470.07361,22962.11838,Chicken
379020.7261,725805.4644,Chicken
388944.4511,645244.7824,Chicken
786.667885,454.70667,Chicken
184164.783,294447.823,Chicken
4249.464611,1827.094984,Chicken
287339.3927,479740.5624,Chicken
249169.9841,457914.9572,Chicken
2716.119632,5419.890941,Chicken
93419.81571,102041.0359,Chicken
1168.145505,292.198071,Chicken
144302.7384,59812.4399,Chicken
4469.455225,3928.139915,Chicken
1458.274064,244.947545,Chicken
337459.4445,606947.4952,Chicken
331992.1864,624921.4265,Chicken
9695.331158,914.688962,Chicken
796.122378,168.82717,Chicken
59925.6033,93277.25775,Chicken
289593.2732,493298.0241,Chicken
180034.7141,118847.78,Chicken
57046.37013,98814.79742,Chicken
158033.9328,453029.2916,Chicken
27706.30158,27184.64671,Chicken
32391.27835,10322.5572,Chicken
6230.31618,1627.872341,Chicken
716.551944,10409.75119,Chicken
